Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-0.09,0.21,0.88,0.64,0.08,2.3,1.51,0.8,-1.58,-2.69,-0.95,-0.32
1902,1.68,-0.28,1.1,1.15,1.41,0.24,0.21,-1.09,-1.76,-0.77,-0.26,-0.45
1903,-1.1,-1.11,1.8,2.18,0.92,-0.22,0.6,-0.15,0.81,0.3,-0.05,1.66
1904,1.39,1.53,0.89,3.64,1,-1.01,-0.87,-0.11,-0.01,-0.11,-1.81,0.18
1905,-1.08,-1.84,-3.51,-3.05,-1.68,-2.29,-2.11,-0.96,-0.7,-0.83,-1.81,-1.57
1906,-0.43,-0.88,-0.56,-0.84,-1.03,-0.71,0.68,1.43,1.75,0.81,1.95,0.3
1907,0.56,-0.23,-0.32,-0.84,-0.57,0.45,-0.03,-1.05,-0.07,-0.43,-0.58,0.65
1908,-0.99,0.84,-0.41,1.02,0.18,-0.63,1.43,0.2,1.67,0.72,0.09,-0.71
1909,-0.3,-0.4,-0.15,-1.78,0.07,2.63,1.08,0.89,0.06,0.2,0.74,0.41
1910,0.6,1.42,1.25,0.39,0.09,2.49,2.07,0.89,1.46,1.04,1.74,1.66
1911,0.3,0.01,0.22,0.05,-0.74,-1.55,-1.26,-1.41,-0.88,-1.3,-0.81,-0.27
1912,-1.11,-1.83,-1.14,-2.27,-1.12,-0.99,-0.05,-0.94,-0.4,-0.97,0.12,-1.01
1913,-0.41,-0.63,0.01,-0.79,-0.56,-0.6,-0.12,-0.92,-0.95,-1.02,-1.25,-0.89
1914,-0.74,0.18,0.88,-2.27,-1.21,-2.64,-0.97,-1.84,-1.47,-0.73,-0.47,0.17
1915,-2.71,-0.59,-2.49,-1.49,1.22,2.68,2.53,1.3,1.34,0.95,-1.74,0.99
1916,0.56,-0.52,-0.83,0.01,0.43,0.75,2.57,1.51,0.42,0.36,0.77,1.62
1917,0.46,0.98,1.86,2.58,2.4,2.39,2.83,3.48,2.84,1.51,1.93,2.4
1918,1.46,1.58,-0.39,2.07,1.09,-0.78,-1.38,-0.64,-0.85,-0.62,0.02,-1
1919,-1.62,-1.19,-1.57,-0.37,-0.96,-1.46,-0.87,-0.9,-0.59,-1.25,-1.23,-1.12
1920,0.18,-0.29,-0.63,-0.1,-0.4,0.4,0.92,0.44,0.47,-0.69,-0.19,0.99
1921,1.09,0.58,1.07,-1.28,-0.01,4.07,0.29,-0.88,0.46,0.97,0.76,0.81
1922,0.78,0.77,0.48,-0.69,-0.76,0.45,0.23,-0.28,0.46,0.55,0.76,1.21
1923,0.56,0.34,0.84,0.81,-0.01,-0.17,-1.11,-2.14,-1.46,-0.72,-1.41,0.13
1924,-0.68,0.01,0.11,-1.95,1.19,0.84,0.78,0.88,0.74,0.63,1.02,0.48
1925,0.54,1.22,1.52,1.48,-0.3,-0.82,-1.31,-1.24,-0.66,-1.5,-0.97,-0.89
1926,-0.62,-1.56,-1.65,-0.75,-0.28,-1.05,-0.09,-0.92,0.12,0.24,0.07,0.59
1927,0.51,0.01,1.84,0.75,0.62,0.91,0.17,-0.75,-0.07,-0.55,-0.91,0.75
1928,-1.22,0.95,1.38,1.44,-0.09,-1.15,-0.02,0.8,0.74,0.77,0.21,1.2
1929,1.74,1.69,0.41,0.58,-1.2,0.06,0.21,-0.17,-0.07,0.8,0.95,0.53
1930,1.31,0.68,0.04,-0.33,0.47,-0.84,-0.4,-0.39,-0.72,0.46,0.3,-0.27
1931,0.63,-1.61,0.44,1.1,1.66,2.23,0.98,-0.5,0.35,-1,-0.37,0.81
1932,0.21,-0.36,-0.72,-2.76,0.09,-0.26,-1.52,-0.9,-0.86,-0.69,-0.61,0.25
1933,-1.22,0.34,-0.35,0.47,0.74,-0.68,0.38,-0.23,0.17,0.17,0.53,0.81
1934,0.62,-0.06,-0.12,0.64,-0.76,1.12,0.3,-2.44,-0.64,0.38,1.21,-0.38
1935,0.64,-0.56,1.21,0.37,-0.46,-0.42,-0.02,0,0.59,0.6,0.3,-0.56
1936,-0.3,-0.04,0.05,2.81,0.27,-0.37,0.43,-1,0.23,-0.11,-1.55,-0.04
1937,0.95,-0.59,0.55,0.18,0.19,0.22,-0.53,0.2,0.04,-0.39,-0.46,0.64
1938,0.75,0.21,-0.55,0.39,1.18,2.01,1.87,1.24,0.69,1.37,-0.07,1.42
1939,1.74,0.66,1.14,1.13,-0.1,-0.37,0.84,-0.11,-0.95,-1.71,-0.96,-1.07
1940,-0.06,-0.56,-1.34,-0.94,-1.39,-2.49,-1.5,-2.11,-1.95,-1.8,-0.77,-3.38
1941,-1.13,-1.6,-1.33,-1.19,-0.75,-1.89,-2,-2.2,-0.83,-2.29,-1.09,-1.07
1942,-1.51,-0.51,-0.8,-0.52,0.25,0.8,-0.08,0.3,0.82,0.7,-0.64,1.42
1943,0.88,0.91,0.29,1.59,0.25,-1.13,0.3,0.69,0.53,0.79,0.22,-1.06
1944,-0.95,0.3,0.46,-0.54,0.02,-0.61,-0.85,0.13,0.22,-1.03,-0.84,0.36
1945,0.43,0.53,1.33,-0.73,0.02,0.8,0.39,1.06,0.8,0.21,-0.45,0.63
1946,-0.32,0.29,-0.38,-1.03,-1.19,-1.32,-0.99,-0.64,-1.58,-1.38,-0.25,-0.71
1947,-0.63,-0.56,1.13,-0.56,-1.24,0.16,0.98,0.66,1.1,-0.35,0.75,0.47
1948,-0.43,-0.41,-0.6,0.26,0.35,-0.76,0.1,-0.55,-0.76,0.54,0.19,-0.72
1949,-0.86,0.05,0.49,0.28,-0.68,-1.6,-0.15,-0.64,0.17,0.38,-0.77,0.77
1950,0.54,1.58,1.79,1.67,0.55,3.06,2.14,1.14,0.63,1.68,0.89,2.46
1951,1.32,0.47,-0.71,-1.03,-1.29,-0.52,-1.33,-0.75,-1.17,-1.44,-0.98,-0.9
1952,-0.92,-0.83,-0.02,-0.73,0.67,0.78,0.51,-0.38,-0.24,0.12,-0.22,-1.4
1953,0.12,-0.72,-0.79,-0.18,-2.72,-0.47,-0.06,-1.89,-1.35,-0.18,-0.36,-0.61
1954,0.57,-0.52,-0.31,0.41,0.15,-0.49,0.36,0.9,0.17,0.09,0.16,1.31
1955,-0.68,1.3,0.13,-0.81,0.88,1.63,1.8,1.38,1.4,1.51,1.38,0.91
1956,1.16,1.1,0.89,1.06,1.44,1.26,1.19,1.05,0.06,1.92,0.11,0.99
1957,0.43,-0.36,-0.37,0.05,-1.18,-0.37,0.18,-1.08,-1.01,-0.09,-1.23,-0.44
1958,-1.89,-0.78,-0.32,0.03,-1.39,-0.27,0.23,0.72,-0.34,-0.56,-0.61,-0.84
1959,-0.94,-1.5,0.77,0.35,0.14,-0.96,-0.47,-0.68,-0.01,0.34,0.9,0.81
1960,-0.05,-0.25,0.47,0.79,0.3,-0.47,0.5,0.53,0.65,-0.2,0.6,0.63
1961,-0.43,0.58,-2.47,1.15,0.18,-0.53,0.18,-0.16,0.11,-0.73,0.68,1.31
1962,1.72,-0.41,-0.32,0.3,1.1,0.37,-0.04,0.26,0.53,0.95,0.27,-0.1
1963,0.8,0.26,0.66,0.51,0.14,-1.3,-0.13,-0.43,-0.6,-1.46,-0.93,-1.35
1964,-0.53,-0.13,0.71,1.78,-0.02,0.72,0.62,1.32,1.29,1.26,-0.06,-0.49
1965,-0.52,0.01,0.24,-1.34,-0.03,-1.63,-2.32,-1.37,-1.41,-1.22,-1.86,0.02
1966,-1.36,-0.54,-1.75,-0.9,-0.71,0.14,-0.15,0.19,-0.24,-0.33,-0.2,-0.61
1967,1.52,1.2,0.65,-0.12,-0.41,0.67,0.18,0.44,0.44,-0.17,-0.57,-0.78
1968,0.47,0.77,-0.56,-0.31,1.21,1.27,0.77,-0.2,-0.36,-0.35,-0.44,0.13
1969,-1.36,-0.85,-0.03,-0.9,-0.78,-0.24,-0.73,-0.71,-1.1,-1.35,-0.18,0.24
1970,-1.26,-1.22,0.06,-0.56,0.04,1.02,-0.52,0.31,1.18,0.74,1.85,1.83
1971,0.23,1.44,1.98,2.58,0.88,0.21,0.17,1.42,1.51,1.75,0.55,0.15
1972,0.33,0.67,0.13,-0.46,-1.52,-1.68,-1.84,-1.12,-1.48,-1.13,-0.38,-1.47
1973,-0.43,-1.47,-0.06,-0.37,0.25,1.22,0.63,1.18,1.27,0.85,2.85,1.76
1974,2.16,1.49,2.1,1.27,1.24,0.14,1.23,0.56,1.16,0.72,-0.42,-0.14
1975,-0.62,0.46,1.14,1.48,0.51,1.69,2.13,2.03,2.15,1.67,1.25,2.05
1976,1.19,1.18,1.33,0.24,0.5,-0.16,-1.24,-1.46,-1.29,0.13,0.76,-0.48
1977,-0.39,0.65,-1.2,-1.17,-1.18,-2.33,-1.45,-1.42,-0.95,-1.39,-1.56,-1.23
